,单词,后缀,单词释义
789,grateful,"ful 表形容词, 有...的","adj.感激的,感谢的"
790,gravity,ity 表名词，指具备某种性质,"n.地心引力,重力"
791,greedy,y 表名词，加在形容词或以r结尾的单词后。,"adj.贪吃的,贪婪的,渴望的"
792,groan,an 表名词和形容词， ...地方，...人,"n.呻吟,叹息;vi.呻吟,受折磨,受压迫发出嘎吱声;vt.呻吟着说"
793,grocer,er 表动词， 反复做,"n.食品商,杂货店"
794,growth,th 表名词，通常指抽象名词,"n.生长,种植,栽培,发育,等比级数"
795,guarantee,ee 表名词， 被动或主动的人,"n.保证,保证书,担保,抵押品;vt.保证,担保"
796,guidance,ance 表名词， 性质，状况,"n.指导,领导"
797,guideline,ine 表形容词， ...的,n.方针
798,guilty,ty 表名词，用在形容词后，把形容词变成名词,"adj.犯罪的,有罪的,心虚的"
799,guy,y 表名词，加在形容词或以r结尾的单词后。,"n.家伙,人"
800,hammer,er 表动词， 反复做,"n.铁锤,槌,锤子;v.锤击,锤打"
801,hamper,er 表名词， 物品，机器,"v.妨碍,牵制"
802,handful,"ful 表形容词, 有...的","n.一把,少数"
803,handwriting,ing 表形容词， 正...的 ， 令人...的,"n.笔迹,书写体,书法,笔势"
804,handy,y 表名词，加在形容词或以r结尾的单词后。,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
805,harden,en 表动词， 变成,"vt.使变硬,使坚强,使冷酷;vi.变硬,变冷酷,涨价"
806,hardy,y 表名词，加在形容词或以r结尾的单词后。,"adj.难的,艰苦的，勇敢的;adv.努力地,辛苦地,坚硬地"
807,harmony,y 表名词，加在形容词或以r结尾的单词后。,"n.协调,融洽"
808,hasty,ty 表名词，用在形容词后，把形容词变成名词,"adj.匆忙的,草率的"
809,hay,y 表名词，加在形容词或以r结尾的单词后。,n.干草
810,heading,ing 表形容词， 正...的 ， 令人...的,n.标题
811,heal,al 表名词， 人，物，状态,"v.治愈,医治,结束"
812,hearing,ing 表形容词， 正...的 ， 令人...的,"n.听力,听觉,听取意见,听讼;v.倾听"
813,heel,el 表名词， 人或物,"n.脚后跟,踵,跟部"
814,heighten,en 表动词， 变成,"v.提高,升高"
815,helicopter,er 表动词， 反复做,"n.直升(飞)机,直升机"
816,helpful,"ful 表形容词, 有...的","adj.有帮助的,有用的,有益的"
817,helpless,ess 表名词， 女性，雌性,"adj.无助的,无能的,没用的"
818,hen,en 表动词， 变成,"n.母鸡,雌鸟"
819,henceforth,th 表名词，通常指抽象名词,"adv.自此以后,今后"
820,heritage,"age 名词后缀,表示 状态，总称","n.遗产,继承权,传统"
821,heroic,"ic 表形容词, ....的 ，有时作tic","adj.英雄的,英勇的"
822,hierarchy,y 表名词，加在形容词或以r结尾的单词后。,"n.层次,层级"
823,highly,ly 表形容词，通常加在名词后。,"adv.高地,非常"
824,highway,y 表名词，加在形容词或以r结尾的单词后。,"n.公路,大路"
825,hinder,er 表动词， 反复做,"adj.后面的;v.阻碍,打扰"
826,historian,ian 表名词， 某种人,"n.历史学家,史家"
827,historic,"ic 表形容词, ....的 ，有时作tic","adj.历史上著名的,有历史性的"
828,historical,al 表形容词， ...的,"adj.历史(上)的,有关历史的"
829,hitherto,o 表名词，用于音乐术语,"adv.迄今,至今"
830,hobby,y 表名词，加在形容词或以r结尾的单词后。,n.业余爱好
831,holy,ly 表形容词，通常加在名词后。,"adj.神圣的,圣洁的;n.神圣的东西"
832,honey,y 表名词，加在形容词或以r结尾的单词后。,"n.(蜂)蜜,蜂蜜"
833,hopeful,"ful 表形容词, 有...的","adj.怀有希望的,有希望的"
834,hopeless,ess 表名词， 女性，雌性,"adj.没有希望的,绝望的,不可救药"
835,horizon,on 表名词，指人、物和一些物理学上的名词,"n.地平线;n.地平(线),(知识,思想等的)范围,视野"
836,horizontal,al 表形容词， ...的,"adj.地平线的,水平的"
837,horrible,ible 形容词 能...的,"adj.可怕的,恐怖的,讨厌的"
838,horror,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.惊骇,恐怖,惨事,极端厌恶"
839,horsepower,er 表动词， 反复做,n.马力
840,hospitality,ality 表名词， 状态，性质,"n.好客,宜人,盛情"
841,hostage,"age 名词后缀,表示 状态，总称","n.人质,抵押品"
842,hostile,ile 表形容词， ...的,"adj.敌对的,敌方的;n.敌对"
843,housing,ing 表形容词， 正...的 ， 令人...的,"n.供给住宅,住宅群,机架,住房供给"
844,hover,er 表动词， 反复做,v.盘旋
845,humanity,ity 表名词，指具备某种性质,"n.人性,人类,博爱,仁慈"
846,humidity,ity 表名词，指具备某种性质,"n.湿气,潮湿,湿度<美>沼泽中的肥沃高地"
847,humorous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.富幽默感的,滑稽的,诙谐的,想入非非的,异想天开的"
848,hydrogen,en 表动词， 变成,n.氢
849,hysterical,ical 表形容词， ...的,"a歇斯底里的,异常兴奋的"
850,ideal,al 表名词， 人，物，状态,"n.理想;adj.理想的,完美的,想象的,观念的,唯心论的"
851,identical,al 表形容词， ...的,"adj.同一的,同样的"
852,identify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.识别,鉴别,把...和...看成一样;v.确定"
853,identity,ty 表名词，用在形容词后，把形容词变成名词,"n.同一性,身份,一致,特性,恒等式"
854,ideology,y 表名词，加在形容词或以r结尾的单词后。,n.意识形态
855,idiot,ot 表名词， ...人,"n.白痴,愚人,傻瓜"
856,ignite,ite 表形容词， 有...的,"v.点火,点燃"
857,ignorant,ant 表形容词， ...的,adj.无知的
858,illegal,al 表名词， 人，物，状态,"adj.违法的,不合规定的"
859,illusion,ion 表名词， 动作或状态 分为 sion和tion两种,n.幻想
860,illustrate,ate 表动词， 做，造成,"vt.举例说明,图解,加插图于,阐明;vi.举例"
861,illustration,on 表名词，指人、物和一些物理学上的名词,"n.说明,例证,例子,图表,插图,图解"
862,imaginary,ary 表名词， 人，场所，物,"adj.假想的,想象的,虚构的"
863,imagination,on 表名词，指人、物和一些物理学上的名词,"n.想象,空想,想象的事物,想象力,听觉"
864,imitate,ate 表形容词， 具有...的,"vt.模仿,仿效,仿制,仿造;v.模仿"
865,imitation,ion 表名词， 动作或状态 分为 sion和tion两种,"n.模仿,效法,冒充,赝品,仿造物"
866,immediately,ly 表形容词，通常加在名词后。,"adv.立即,马上,直接地"
867,immigrant,ant 表形容词， ...的,"adj.(从外国)移来的,移民的,移居的;n.移民,侨民"
868,impair,air 表名词， 人、物,v.削弱
869,impatient,ent 表形容词， ...的,"adj.不耐烦的,急躁的,不耐心的"
870,imperial,ial 表形容词， 有...的,adj.皇帝的
871,implement,ment 表名词， 行为或结果,"n.工具,器具;vt.贯彻,实现;v.执行"
872,implication,ion 表名词， 动作或状态 分为 sion和tion两种,"n.牵连,含意,暗示"
873,implicit,it 表名词，通常是抽象名词,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
874,imply,ly 表形容词，通常加在名词后。,"vt.暗示,意味"
875,impose,ose 表形容词， 多...的,"vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响"
876,impress,ess 表名词， 女性，雌性,"vt.印,盖印,留下印象"
877,impression,on 表名词，指人、物和一些物理学上的名词,"n.印象,感想,盖印,压痕"
878,improvement,ment 表名词， 行为或结果,"n.改进,进步"
879,inaugurate,ate 表形容词， 具有...的,"vt.举行就职典礼,创新,开辟,举行开幕(落成、成立)典礼."
880,incentive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",n.动机;adj.激励的
881,incident,ent 表形容词， ...的,"n.事件,事变;adj.附带的,易于发生的"
882,incidentally,ly 表形容词，通常加在名词后。,"adv.附带地,顺便提及"
883,inclusive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.包含的,包括的"
884,incorporate,ate 表动词， 做，造成,"adj.合并的,结社的,一体化的;vt.合并,使组成公司,具体表现;vi.合并,混合,组成公司;vt.[律]结社,成为法人组织"
885,increasingly,ly 表形容词，通常加在名词后。,"adv.日益,愈加"
886,indefinite,ite 表形容词， 有...的,"adj.模糊的,不确定的,[语]不定的"
887,independent,ent 表形容词， ...的,"n.中立派,无党派者;adj.独立自主的,不受约束的"
888,indicate,ate 表形容词， 具有...的,"vt.指出,显示,象征,预示,需要,简要地说明"
889,indication,ion 表名词， 动作或状态 分为 sion和tion两种,"n.指出,指示,迹象,暗示"
890,indicative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.(～of)指示的,预示的,可表示的"
891,indifferent,ent 表形容词， ...的,adj.无关紧要的
892,indignant,ant 表形容词， ...的,"adj.愤怒的,愤慨的"
893,indignation,on 表名词，指人、物和一些物理学上的名词,"n.愤慨,义愤"
894,indispensable,able 表形容词， 可...的，能...,"n.不可缺少之物;adj.不可缺少的,绝对必要的"
895,individual,al 表名词， 人，物，状态,"n.个人,个体;adj.个别的,单独的,个人的"
896,indoor,or 表名词， 人或物器 ，在一些词根前写成 ator,"adj.户内的,室内的"
897,industrial,ial 表形容词， 有...的,"adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票"
898,industrialize,ize 构成一些动词,vt.使工业化;vi.工业化
899,inertia,"ia 表名词, 总称，状态","n.惯性,惯量"
900,infant,ant 表形容词， ...的,"n.婴儿,幼儿;adj.婴儿的,幼稚的"
901,infectious,"ious 表形容词, ....的","adj.有传染性的,易传染的,有感染力的"
902,infer,er 表动词， 反复做,v.推断
903,inferior,ior 表形容词， 较...的,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
904,infinite,ite 表形容词， 有...的,"n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的"
905,inflation,on 表名词，指人、物和一些物理学上的名词,"n.胀大,夸张,通货膨胀,(物价)暴涨"
906,influence,ence 表名词， 性质，状态,"n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变"
907,influential,ial 表形容词， 有...的,"adj.有影响的,有势力的"
908,ingenious,"ious 表形容词, ....的","adj.机灵的,有独创性的,精制的,具有创造才能"
909,ingredient,ent 表形容词， ...的,"n.成分,因素"
910,inhabit,it 表名词，通常是抽象名词,"vt.居住于,存在于,占据,栖息"
911,inherent,ent 表形容词， ...的,"adj.固有的,内在的,与生俱来的"
912,inherit,it 表名词，通常是抽象名词,"vt.继承,遗传而得"
913,inhibit,it 表名词， ...人,"抑制,约束,[化][医]抑制"
914,initial,al 表名词， 人，物，状态,"adj.最初的,词首的,初始的;n.词首大写字母"
915,initiative,ative 表形容词， 有...倾向(性质)的,n.主动
916,injection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道"
917,injury,ry 表示集合名词,"n.伤害,侮辱"
918,inlet,let 表示 小,"n.进口,入口,水湾,小港,插入物"
919,inner,er 表动词， 反复做,"adj.内部的,里面的,内心的;n.内部"
920,innovation,ation 表名词， 行为，过程，结果,"n.改革,创新"
921,innumerable,able 表形容词， 可...的，能...,"adj.无数的,数不清的"
922,inquiry,ry 表示集合名词,"n.质询,调查"
923,insist,ist 表名词， 表示信仰者，专家或从事人,"v.坚持,强调"
924,inspiration,ation 表名词， 行为，过程，结果,n.灵感
925,installation,ation 表名词， 行为，过程，结果,"n.[计]安装,装置,就职"
926,installment,ment 表名词， 行为或结果,n.部分
927,instant,ant 表形容词， ...的,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
928,instantaneous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.瞬间的,即刻的,即时的"
929,instead,ad 表名词， ...东西，状态,"adv.代替,改为,抵作,更换"
930,institution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.公共机构,协会,制度"
931,instruction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.指示,用法说明(书),教育,指导,指令"
932,instrument,ent 表形容词， ...的,"n.工具,手段,器械,器具,手段"
933,instrumental,al 表名词， 人，物，状态,"adj.仪器的,器械的,乐器的"
934,insurance,ance 表名词， 性质，状况,"n.保险,保险单,保险业,保险费"
935,integral,al 表名词， 人，物，状态,"adj.完整的,整体的,[数学]积分的,构成整体所需要的;n.[数学]积分,完整,部分"
936,integrity,ity 表名词，指具备某种性质,"n.正直,诚实,完整,完全,完整性"
937,intellectual,al 表名词， 人，物，状态,"adj.智力的,有智力的,显示智力的;n.知识分子"
938,intelligent,ent 表形容词， ...的,"adj.聪明的,伶俐的,有才智的,[计]智能的"
939,intensify,"fy 表动词, ...化，成为... ，更多时候作 ify",vt.加强;vi.强化
940,intensity,ty 表名词，用在形容词后，把形容词变成名词,"n.强烈,剧烈,强度,亮度"
941,intent,ent 表形容词， ...的,"n.意图,目的,意向,[律](犯罪或侵权行为的)故意;adj.专心的,决心的,热心的"
942,intention,on 表名词，指人、物和一些物理学上的名词,"n.意图,目的"
943,interaction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.交互作用,交感"
944,interference,ence 表名词， 性质，状态,"n.冲突,干涉"
945,interior,ior 表形容词， 较...的,"adj.内部的,内的;n.内部"
946,intermediate,ate 表动词， 做，造成,adj.中间的;n.媒介
947,internal,al 表名词， 人，物，状态,"adj.内在的,国内的"
948,interpret,et 表示 小,"v.解释,说明,口译,通译,认为是...的意思"
949,intersection,ion 表名词， 动作或状态 分为 sion和tion两种,"n.[数]交集,十字路口,交叉点"
950,interval,al 表名词， 人，物，状态,"n.间隔,距离,幕间休息;n.时间间隔"
951,intimate,ate 表形容词， 具有...的,"adj.亲密的,隐私的;vt.宣布,明白表示;n.熟友"
952,intimidate,ate 表名词， 人或地位,v.胁迫
953,intricate,ate 表动词， 做，造成,"adj.复杂的,错综的,难以理解的"
954,intrinsic,"ic 表形容词, ....的 ，有时作tic","adj.(指价值、性质)固有的,内在的,本质的"
955,intuition,ition 表名词， 行为过程，状态,"n.直觉,直觉的知识"
956,invade,"ade 表名词, 表示 状态，物品","vt.侵略,侵袭,拥挤"
957,invalid,id 表形容词， 如...的,"n.病人,残废者;adj.有病的,残废的"
958,invariably,ably 表副词， 能...地,"adv.不变地,总是;n.总是"
959,invasion,ion 表名词， 动作或状态 分为 sion和tion两种,n.入侵
960,invent,ent 表形容词， ...的,"vt.发明,创造;v.发明"
961,invention,on 表名词，指人、物和一些物理学上的名词,"n.发明,创造"
962,inventory,ry 表示集合名词,"n.详细目录,存货,财产清册,总量"
